domain,prompt_idx,layer_idx,strength,seed,baseline_correct,perturbed_correct,flip,edit_distance,baseline_entropy,perturbed_entropy,baseline_margin,perturbed_margin,kl_divergence,model,paradigm,n_layers,layer_frac
factual,23,2,0.01,137,True,False,True,0.0851063829787234,1.2011793851852417,1.0742660760879517,3.25,3.4375,0.0043164934031665,Qwen3-0.6B,transformer,28,0.074074074074074
math,0,2,0.01,2049,True,True,False,0.0,1.1258488893508911,1.1269558668136597,3.625,3.875,0.0024209669791162,Qwen3-0.6B,transformer,28,0.074074074074074
math,1,2,0.01,2049,False,False,False,0.0,1.8502895832061768,1.8796974420547483,2.5,2.5,0.0019080366473644,Qwen3-0.6B,transformer,28,0.074074074074074
math,2,2,0.01,2049,True,False,True,0.8846153846153846,2.4014651775360107,2.6522693634033203,2.1875,2.0625,0.0075296452268958,Qwen3-0.6B,transformer,28,0.074074074074074
math,3,2,0.01,2049,True,True,False,0.0,1.8496735095977783,1.7491638660430908,3.0625,3.1875,0.0045648459345102,Qwen3-0.6B,transformer,28,0.074074074074074
math,4,2,0.01,2049,True,True,False,0.0,1.5937457084655762,1.476348042488098,2.875,3.125,0.0040450785309076,Qwen3-0.6B,transformer,28,0.074074074074074
math,5,2,0.01,2049,True,True,True,0.074074074074074,1.582488179206848,1.5690783262252808,2.875,2.875,0.0016145788831636,Qwen3-0.6B,transformer,28,0.074074074074074
math,6,2,0.01,2049,True,True,False,0.0,2.126381158828736,2.398836851119995,2.875,2.625,0.0095866657793521,Qwen3-0.6B,transformer,28,0.074074074074074
math,7,2,0.01,2049,True,True,True,0.0384615384615384,1.942654609680176,1.8281190395355225,2.625,2.875,0.004915177822113,Qwen3-0.6B,transformer,28,0.074074074074074
math,8,2,0.01,2049,True,True,True,0.037037037037037,2.201754570007324,2.313993215560913,2.4375,2.4375,0.0044253719970583,Qwen3-0.6B,transformer,28,0.074074074074074
math,9,2,0.01,2049,True,True,False,0.0,1.2804235219955444,1.323453664779663,3.5,3.5,0.0018611049745231,Qwen3-0.6B,transformer,28,0.074074074074074
math,10,2,0.01,2049,False,False,False,0.0,2.8486664295196533,2.60523009300232,2.375,2.625,0.0081317396834492,Qwen3-0.6B,transformer,28,0.074074074074074
math,11,2,0.01,2049,True,True,False,0.0,1.67671799659729,1.6558425426483154,2.9375,3.0,0.0014718410093337,Qwen3-0.6B,transformer,28,0.074074074074074
math,12,2,0.01,2049,True,True,False,0.0,1.5298445224761963,1.6672043800354004,3.125,3.0,0.0035024613607674,Qwen3-0.6B,transformer,28,0.074074074074074
math,13,2,0.01,2049,False,False,False,0.0,2.364113569259644,2.4072654247283936,2.5625,2.5,0.0048225568607449,Qwen3-0.6B,transformer,28,0.074074074074074
math,14,2,0.01,2049,False,False,False,0.0,2.6435818672180176,2.702721118927002,2.0625,2.0625,0.0025868816301226,Qwen3-0.6B,transformer,28,0.074074074074074
math,15,2,0.01,2049,True,True,False,0.0,1.7657617330551147,1.7596652507781982,2.8125,2.875,0.0013656972441822,Qwen3-0.6B,transformer,28,0.074074074074074
math,16,2,0.01,2049,False,False,False,0.0,1.5630227327346802,1.4655184745788574,3.0625,3.25,0.0028356749098747,Qwen3-0.6B,transformer,28,0.074074074074074
math,17,2,0.01,2049,False,False,False,0.0,2.4000062942504883,2.4041666984558105,2.8125,2.75,0.0049244002439081,Qwen3-0.6B,transformer,28,0.074074074074074
math,18,2,0.01,2049,True,False,True,0.55,1.539995551109314,1.5640867948532104,3.25,3.25,0.0014717244775965,Qwen3-0.6B,transformer,28,0.074074074074074
math,19,2,0.01,2049,False,False,False,0.0,2.6934680938720703,2.835941791534424,1.75,1.6875,0.0063327075913548,Qwen3-0.6B,transformer,28,0.074074074074074
