model,paradigm,layer,layer_frac,d_model,PR,PR_over_d,effective_rank,ER_over_d,anisotropy
Mamba-1.4B,ssm,34,0.7083333333333334,2048,11.657861459921705,0.005692315165977395,13.201167855958362,0.006445882742167169,0.4931220696689882
Mamba-1.4B,ssm,35,0.7291666666666666,2048,11.720935975790269,0.005723113269428842,13.184109699346498,0.006437553564134032,0.4753952319675993
Mamba-1.4B,ssm,36,0.75,2048,11.527019900769528,0.005628427685922621,13.104718485820648,0.006398788323154613,0.5003463622406195
Mamba-1.4B,ssm,37,0.7708333333333334,2048,10.617854242664153,0.005184499141925856,12.615048176193993,0.006159691492282223,0.5352967396710624
Mamba-1.4B,ssm,38,0.7916666666666666,2048,10.504262735531693,0.0051290345388338345,12.569234404125957,0.006137321486389628,0.5612877473781375
Mamba-1.4B,ssm,39,0.8125,2048,10.314235514012594,0.005036247809576462,12.45155118249173,0.00607985897582604,0.5744093145852404
Mamba-1.4B,ssm,40,0.8333333333333334,2048,9.759217683190299,0.004765243009370263,12.157154687726115,0.005936110687366267,0.5927541269814747
Mamba-1.4B,ssm,41,0.8541666666666666,2048,9.259380398962772,0.004521181835431041,11.88174760226478,0.005801634571418349,0.6096290046257031
Mamba-1.4B,ssm,42,0.875,2048,9.385607147309347,0.004582815989897142,11.929614644041287,0.005825007150410785,0.6276484392267693
Mamba-1.4B,ssm,43,0.8958333333333334,2048,8.794935873249445,0.0042944022818600805,11.568411746215517,0.0056486385479567955,0.6333327713569259
Mamba-1.4B,ssm,44,0.9166666666666666,2048,8.40025720782629,0.00410168808975893,11.32302245921214,0.005528819560162178,0.6484012061452976
Mamba-1.4B,ssm,45,0.9375,2048,7.424289975092605,0.003625141589400686,10.689180725960245,0.005219326526347776,0.6385722431027777
Mamba-1.4B,ssm,46,0.9583333333333334,2048,4.9344682074305055,0.0024094083044094265,8.531551847738086,0.0041657968006533624,0.6274327870563164
Mamba-1.4B,ssm,47,0.9791666666666666,2048,4.84485084458345,0.002365649826456763,7.826407890225236,0.003821488227649041,0.47713860816082027
Mamba-2.8B,ssm,2,0.03125,2560,13.012019830041769,0.005082820246110066,13.891270129650657,0.005426277394394788,0.35850419578480663
Mamba-2.8B,ssm,3,0.046875,2560,13.156270669642112,0.00513916823032895,13.980130597130971,0.0054609885145042855,0.4279001888525844
Mamba-2.8B,ssm,4,0.0625,2560,13.135768165543743,0.005131159439665524,13.972609536029989,0.005458050600011715,0.46827081421327676
Mamba-2.8B,ssm,5,0.078125,2560,12.852536893348361,0.0050205222239642034,13.818547694397484,0.005397870193124018,0.487761750467624
Mamba-2.8B,ssm,6,0.09375,2560,12.69078848441737,0.004957339251725535,13.727179063883655,0.0053621793218295525,0.49495292461290724
Mamba-2.8B,ssm,7,0.109375,2560,12.593037744229797,0.004919155368839764,13.665521288173744,0.005338094253192869,0.5002536046756265
Mamba-2.8B,ssm,8,0.125,2560,12.540891882266884,0.004898785891510502,13.634229135544315,0.005325870756071998,0.5001607857374245
Mamba-2.8B,ssm,9,0.140625,2560,12.540088411900319,0.004898472035898562,13.635011265079179,0.005326176275421554,0.5032404863611127
Mamba-2.8B,ssm,10,0.15625,2560,11.646228302880848,0.004549307930812831,13.176243784696073,0.005146970228396904,0.4905341198338234
Mamba-2.8B,ssm,11,0.171875,2560,11.768011804660086,0.004596879611195346,13.234522420339601,0.0051697353204451565,0.4907548007381147
Mamba-2.8B,ssm,12,0.1875,2560,11.697457639397062,0.004569319390389477,13.192058014777423,0.005153147662022431,0.4919380177884939
Mamba-2.8B,ssm,13,0.203125,2560,11.92268067117479,0.004657297137177652,13.322191774718503,0.0052039811619994155,0.4955973781211739
Mamba-2.8B,ssm,14,0.21875,2560,11.916715984330905,0.00465496718137926,13.319631799426723,0.005202981171651064,0.5023912182865738
Mamba-2.8B,ssm,15,0.234375,2560,12.315613386579155,0.004810786479132483,13.538976056556708,0.005288662522092464,0.49192993812545555
