model_id,org,inferred_paradigm,arch_key,release_date,release_month,downloads,log10_downloads,adoption_residual,log10_params,param_b,recency_months,support_score,measured_tax,support_score_at_release,support_gain_after_release,frameworks_supported_at_release,first_shock_date,post_first_shock_release,months_from_first_shock,imbalance_weight
Qwen/Qwen2.5-72B,Qwen,transformer,qwen2,2024-09-15,2024-09-01,27593.0,4.440814659957681,-0.11313348993777961,10.861571468563978,72.706203648,15.308804204993429,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.2851511169513796,0.30957811717237665
Qwen/Qwen2.5-72B-Instruct,Qwen,transformer,qwen2,2024-09-16,2024-09-01,347602.0,5.541083515986708,0.985718719615611,10.861571468563978,72.706203648,15.275952693823916,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.3180026281208934,0.30957811717237665
Qwen/Qwen2.5-Coder-32B-Instruct,Qwen,transformer,qwen2,2024-11-06,2024-11-01,724763.0,5.860196613215062,1.3162458211785122,10.515395278274339,32.763876352,13.600525624178712,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,4.993429697766097,0.30957811717237665
Qwen/Qwen3-14B,Qwen,transformer,qwen3,2025-04-27,2025-04-01,713686.0,5.853507786038581,1.149529796409218,10.16933071766594,14.7683072,7.9500657030223385,0.9,0.09999999999999998,0.0,0.9,0,2025-04-29,0.0,-0.0657030223390276,0.399663630719621
Qwen/Qwen3-235B-A22B,Qwen,transformer,qwen_moe,2025-04-27,2025-04-01,480486.0,5.681681641942878,0.6872290865355923,11.37124087024407,235.09363456,7.9500657030223385,0.625,0.375,0.78125,-0.15625,4,2024-04-01,1.0,12.844940867279893,0.6922377143438292
Qwen/Qwen3-32B,Qwen,transformer,qwen3,2025-04-27,2025-04-01,1599995.0,6.204118896918363,1.4165105272452791,10.515372039973531,32.762123264,7.9500657030223385,0.9,0.09999999999999998,0.0,0.9,0,2025-04-29,0.0,-0.0657030223390276,0.399663630719621
RWKV/v6-Finch-14B-HF,RWKV,rwkv,rwkv6,2024-07-21,2024-07-01,6884.0,3.8379039445929424,,,,17.1484888304862,0.275,0.725,0.0,0.275,0,2024-09-01,0.0,-1.3797634691195795,1.5143582931798893
Snowflake/snowflake-arctic-instruct,Snowflake,transformer,arctic,2024-04-21,2024-04-01,6147.0,3.7887338588277073,-0.7547529948026774,11.679958727635944,478.584608768,20.13797634691196,0.3,0.7,0.0,0.3,0,2024-05-01,0.0,-0.328515111695138,0.9789719640111957
ai21labs/AI21-Jamba-1.5-Large,ai21labs,transformer,jamba,2024-08-19,2024-08-01,2231.0,3.348694190265541,-1.3455841076662232,11.600488616673715,398.555325612,16.1957950065703,0.525,0.475,0.8750000000000001,-0.3500000000000001,3,2024-04-18,1.0,4.040735873850197,0.5652097269509605
ai21labs/AI21-Jamba-1.5-Mini,ai21labs,hybrid,jamba,2024-08-19,2024-08-01,8021.0,3.904282657645628,-0.5753646239226278,10.712399854290679,51.570323328,16.1957950065703,0.525,0.475,0.8750000000000001,-0.3500000000000001,3,2024-04-18,1.0,4.040735873850197,0.9252882010374628
