model_a,paradigm_a,model_b,paradigm_b,layer,layer_frac,cka,rdi
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,10,0.35714285714285715,0.28480604024526884,0.7151939597547312
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,11,0.39285714285714285,0.26155967272990055,0.7384403272700995
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,12,0.42857142857142855,0.25548026384151395,0.7445197361584861
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,13,0.4642857142857143,0.2619920182384194,0.7380079817615806
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,14,0.5,0.26363079950426005,0.73636920049574
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,15,0.5357142857142857,0.26111087304681097,0.738889126953189
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,16,0.5714285714285714,0.2808008810499007,0.7191991189500992
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,17,0.6071428571428571,0.2885325483263007,0.7114674516736993
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,18,0.6428571428571429,0.27668336862178305,0.7233166313782169
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,19,0.6785714285714286,0.2623804242294798,0.7376195757705202
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,20,0.7142857142857143,0.25989150703936037,0.7401084929606396
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,21,0.75,0.2659457935209556,0.7340542064790444
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,22,0.7857142857142857,0.27586492851362987,0.7241350714863701
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,23,0.8214285714285714,0.2831577519965898,0.7168422480034102
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,24,0.8571428571428571,0.2897684709330899,0.7102315290669101
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,25,0.8928571428571429,0.32336639101274467,0.6766336089872553
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,26,0.9285714285714286,0.3428919350328874,0.6571080649671126
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,27,0.9642857142857143,0.47123170117612245,0.5287682988238775
DSR1-1.5B,reasoning,Mamba-1.4B,ssm,28,1.0,0.8427710530751817,0.15722894692481826
