model_id,inferred_paradigm,arch_key,vllm,llamacpp,tgi,gptq,awq,bnb,support_score,measured_tax,frameworks_full,frameworks_partial,frameworks_none,hybridization_score,adoption_residual,log10_downloads,param_b,downloads
Qwen/Qwen3-14B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.149529796409218,5.853507786038581,14.7683072,713686.0
Qwen/Qwen3-235B-A22B,transformer,qwen_moe,1.0,1.0,0.0,0.5,0.0,0.5,0.625,0.375,2,2,2,0.0,0.6872290865355923,5.681681641942878,235.09363456,480486.0
Qwen/Qwen3-32B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.4165105272452791,6.204118896918363,32.762123264,1599995.0
RWKV/v6-Finch-14B-HF,rwkv,rwkv6,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,,3.8379039445929424,,6884.0
Snowflake/snowflake-arctic-instruct,transformer,arctic,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.7,0,3,3,0.0,-0.7547529948026774,3.7887338588277073,478.584608768,6147.0
ai21labs/AI21-Jamba-1.5-Large,transformer,jamba,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.0,-1.3455841076662232,3.348694190265541,398.555325612,2231.0
ai21labs/AI21-Jamba-1.5-Mini,hybrid,jamba,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.1,-0.5753646239226278,3.904282657645628,51.570323328,8021.0
ai21labs/Jamba-v0.1,hybrid,jamba,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.7,-1.3137621845911798,2.9618954736678504,51.573993344,915.0
allenai/OLMo-2-0325-32B-Instruct,transformer,olmo2,1.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19999999999999996,4,0,2,0.0,-1.5349124633961386,3.185825359612962,32.234279936,1533.0
allenai/Olmo-3-1125-32B,transformer,olmo2,1.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19999999999999996,4,0,2,0.0,-1.2185766257439692,3.8379039445929424,32.233522176,6884.0
baichuan-inc/Baichuan-M1-14B-Base,transformer,baichuan,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.15,-2.31582394330757,2.2528530309798933,14.47076432,178.0
deepseek-ai/DeepSeek-R1,reasoning,deepseek_moe,1.0,1.0,0.5,0.5,0.0,0.5,0.675,0.32499999999999996,2,3,1,0.0,0.7848041034452136,5.754017136372225,684.531386,567566.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.6863799162983684,5.417087883023848,70.553706496,261268.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.0805941322205266,5.647169683071274,14.770033664,443781.0
deepseek-ai/DeepSeek-V2.5,transformer,deepseek_moe,1.0,1.0,0.5,0.5,0.0,0.5,0.675,0.32499999999999996,2,3,1,0.0,0.20881106338373723,4.872057160685515,235.74143488,74482.0
deepseek-ai/DeepSeek-V3,transformer,deepseek_moe,1.0,1.0,0.5,0.5,0.0,0.5,0.675,0.32499999999999996,2,3,1,0.0,1.1801523885279304,6.112532613088386,684.531386,1295783.0
google/gemma-2-27b-it,transformer,gemma2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.2597525051685476,5.593026742396054,27.22712832,391765.0
google/gemma-2-9b-it,transformer,gemma2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.9403581796833604,5.160225354183176,9.241705984,144618.0
google/gemma-3-12b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.4887038911592212,6.091771738279015,12.18732504,1235297.0
google/gemma-3-27b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.5582952819163909,6.246519507179927,27.43240664,1764084.0
ibm-granite/granite-4.0-h-small,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.9,-0.2152157887825661,4.771763808322534,32.207337984,59123.0
inclusionAI/LLaDA2.0-mini,diffusion,llada2,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.0,-0.4770254939957974,4.53735308003993,16.255643392,34462.0
meta-llama/Llama-3.3-70B-Instruct,transformer,llama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.2374384647394487,5.890230938440727,70.553748936,776659.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct,transformer,llama4_moe,1.0,1.0,0.5,0.5,0.0,0.5,0.675,0.32499999999999996,2,3,1,0.0,-0.7706065677796765,4.2432117317447595,401.58385166,17506.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,transformer,llama4_moe,1.0,1.0,0.5,0.5,0.0,0.5,0.675,0.32499999999999996,2,3,1,0.0,0.4156364183563781,5.293651987899034,108.64186936,196630.0
microsoft/Phi-4,transformer,phi4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.2522915291709422,5.761412841636164,14.6595072,577314.0
microsoft/Phi-4-reasoning,reasoning,phi4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.9211422000593155,3.756560043006683,14.6595072,5708.0
microsoft/phi-4-reasoning-plus,reasoning,phi4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.6634442520063466,5.352479666877439,14.6595072,225153.0
mistralai/Mistral-Large-Instruct-2411,transformer,mistral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.6689418132159801,4.024854948305018,122.610069504,10588.0
mistralai/Mistral-Small-24B-Instruct-2501,transformer,mistral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.2556557448056473,5.882630395005114,23.5724032,763185.0
